COMMIT	UNIQUE_CWES	CWE_IDS
006cefd9fc405188846f0675b51a9e4a60b3cd35	5	78, 259, 330, 605, 703
020c677e26b45c6481a994864280663f582850fc	4	78, 259, 330, 703
02b6e367b1af6e02d8c7f897a15ed08510fbdfd3	5	78, 259, 330, 605, 703
02d451da3d3e51e017cfff47c4f28f5b757ba02c	5	78, 259, 330, 605, 703
03fa590152369c5f5fa7141fac30b58bafb1c91b	4	78, 259, 330, 703
04703e4d7e91522093d05fef91ec63ec63c17e7f	4	78, 259, 330, 703
05e38dcf714b5a50844bf45d4d25e4505ca2a6f4	4	78, 259, 330, 703
063b3f4f45f2d224e0902ce46ed6095b181eb9f6	4	78, 259, 330, 703
064c0ba9ff18e52c144977d5d8f1c33691c39427	4	78, 259, 330, 703
065898e79cce23ec4b0bf2587428d68c69ac92da	5	78, 259, 330, 605, 703
06961a0aa1f075262a940249adb4e568eb0711d6	4	78, 259, 330, 703
07278be93ceb7735493ac35475491686176a9c7b	5	78, 259, 330, 605, 703
08404189801ac2e7c14c6ba2cc2a6454f03445cc	5	78, 259, 330, 605, 703
08438309f7f1e61cbe87a0f07e8f0f9cdb8b7839	4	78, 259, 330, 703
088ff3475ce3ac80924b2162179fe9689d5a7d83	4	78, 259, 330, 703
0a74331d6e38c746e43df7e264cc742aca987ee4	4	78, 259, 330, 703
0a86bfd62dda5e116108cb430f34c02984580192	4	78, 259, 330, 703
0a88403a379309fc83d5edc40510be73db6a4ebb	4	78, 259, 330, 703
0af92da76c998d2d5dfc267dadb984e4af5cb09f	4	78, 259, 330, 703
0b4514516bd61b9d23aad2f9921288a491735b35	4	78, 259, 330, 703
0cb514e9176b3378dd4cf7dabfcac7762f47c28c	4	78, 259, 330, 703
0d3b951d553d9f3c7365d0b41f7f91b75f1bb83d	4	78, 259, 330, 703
0d3e4c12ed8ddf0f5a2f447afea06bfd3fa125e9	5	78, 259, 330, 605, 703
0dd1f7233b3c463c931e01fe00d3cc9e24789291	4	78, 259, 330, 703
0e427ddbebe0625e82ebc00fb6711cd2ff80d554	5	78, 259, 330, 605, 703
0e61ad8dfdbdeb0fd8e8fb129e919cea7afd0b2a	5	78, 259, 330, 605, 703
0f0ff08a9952a8a690c200c3ef7e52edc381146f	4	78, 259, 330, 703
0fb34b7b0f8466e5129e776b68b0579503aa8e81	4	78, 259, 330, 703
1117ffe74b6c1232e3e048e6048819985c19be85	5	78, 259, 330, 605, 703
1135676acd05e8298bf985875c194e18b8ec44af	4	78, 259, 330, 703
1220a742917d37f2f9377bb22909c3a12deb47fd	4	78, 259, 330, 703
139aae6c23afaf223161e12d7b666d7332239e06	5	78, 259, 330, 605, 703
15e5292d21f1fde70a4cdb428c25db0192b5b7f0	5	78, 259, 330, 605, 703
162024fad3fcbad047ac26bed121dd6ce8da8d06	5	78, 259, 330, 605, 703
176899775fc4b247326374d893dbd676bbb8cde2	4	78, 259, 330, 703
17d72755c15eaeb1171d5dfc4366d7f14dffc706	5	78, 259, 330, 605, 703
181fd08fa735181d46c4b85d47a9aefdbaf4b157	5	78, 259, 330, 605, 703
18b9ce123042bec808b7f2736fa8f4549afe2493	5	78, 259, 330, 605, 703
18cde0c099bd8af04073402062a905502de839e2	4	78, 259, 330, 703
191577898a70ed830d195fa6dc3692d09f5a2532	4	78, 259, 330, 703
194500a8963a8528c6eef2637c6edf2b49dda797	4	78, 259, 330, 703
19c2596e1bf4a0be46256fefa653452235529d92	5	78, 259, 330, 605, 703
19c6f78d040ed7c429f740a8e71232c45c10e760	4	78, 259, 330, 703
1a25a844905b74fd236d3018c6d9fb595b880908	4	78, 259, 330, 703
1ac287f4a84cc75950955f2b512c75884669083a	5	78, 259, 330, 605, 703
1aef871e678b028e45dccedaf4c59ad26a71f961	5	78, 259, 330, 605, 703
1cfe245af9587f5a44154d6240a86c119735ff98	5	78, 259, 330, 605, 703
1d2ac92b6eee29677c25264b69c57e1d6f5c3a2d	4	78, 259, 330, 703
1d43123a0fb7c39341ea55507d22406c87b5be39	4	78, 259, 330, 703
