COMMIT_CONFIDENCE	HIGH_1	MED_1	LOW_1	COMMIT_SEVERITY	HIGH_2	MED_2	LOW_2	COMMIT_CWES	UNIQUE_CWES	CWE_IDS
0620679d11846dc1f96c7f05d14328abeee86f2e	3158	58	19	0620679d11846dc1f96c7f05d14328abeee86f2e	31	49	3155	0620679d11846dc1f96c7f05d14328abeee86f2e	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
06e8c4dad42abcdeec9a086e4135bda9e3d29efc	3158	58	19	06e8c4dad42abcdeec9a086e4135bda9e3d29efc	31	49	3155	06e8c4dad42abcdeec9a086e4135bda9e3d29efc	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
09aa62f1c34a46a5bffc141811168879a1694fa2	3158	58	19	09aa62f1c34a46a5bffc141811168879a1694fa2	31	49	3155	09aa62f1c34a46a5bffc141811168879a1694fa2	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
0a0ed3f60680a68c2f28606b846e094c904e88a0	3187	59	19	0a0ed3f60680a68c2f28606b846e094c904e88a0	31	50	3184	0a0ed3f60680a68c2f28606b846e094c904e88a0	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
0b3d15a4d7124a339c8e33272e54d0f8f98d17dd	3187	59	19	0b3d15a4d7124a339c8e33272e54d0f8f98d17dd	31	50	3184	0b3d15a4d7124a339c8e33272e54d0f8f98d17dd	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
0f143a43c968c302739d094ba338f60c05afb7b3	3187	59	19	0f143a43c968c302739d094ba338f60c05afb7b3	31	50	3184	0f143a43c968c302739d094ba338f60c05afb7b3	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
0fec237eadd2b0646215670c4e46d0d7db2021d3	3187	59	19	0fec237eadd2b0646215670c4e46d0d7db2021d3	31	50	3184	0fec237eadd2b0646215670c4e46d0d7db2021d3	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
106b230fea9df66d601d122ceda3d8d12416792c	3115	42	19	106b230fea9df66d601d122ceda3d8d12416792c	30	37	3109	106b230fea9df66d601d122ceda3d8d12416792c	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
13bb4746238ef627862e2b3e0c880d04ee6ef60a	3158	58	19	13bb4746238ef627862e2b3e0c880d04ee6ef60a	31	49	3155	13bb4746238ef627862e2b3e0c880d04ee6ef60a	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
1a3354404e60844d6af6e66334a5a4e4851a5e55	3187	59	19	1a3354404e60844d6af6e66334a5a4e4851a5e55	31	50	3184	1a3354404e60844d6af6e66334a5a4e4851a5e55	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
1a755c3fdbdc462200f1499d541ff9c6f9a7259d	3114	42	19	1a755c3fdbdc462200f1499d541ff9c6f9a7259d	30	37	3108	1a755c3fdbdc462200f1499d541ff9c6f9a7259d	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
1ec1076feed882479f90f236fcbc391b9d45680e	3187	59	19	1ec1076feed882479f90f236fcbc391b9d45680e	31	50	3184	1ec1076feed882479f90f236fcbc391b9d45680e	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
1f8aa938434c8b5ed14e6677cdc7150f2ec55dd3	3157	58	19	1f8aa938434c8b5ed14e6677cdc7150f2ec55dd3	31	50	3153	1f8aa938434c8b5ed14e6677cdc7150f2ec55dd3	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
23e775b1e07beab9ba335e9718f4de2ba4af437b	3189	59	19	23e775b1e07beab9ba335e9718f4de2ba4af437b	31	50	3186	23e775b1e07beab9ba335e9718f4de2ba4af437b	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
2518901e6e4e3578fdda3b64c3b2ec76d682931f	3187	59	19	2518901e6e4e3578fdda3b64c3b2ec76d682931f	31	50	3184	2518901e6e4e3578fdda3b64c3b2ec76d682931f	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
259140ffc9ead19d36292d2a0cecef1a06e70798	3158	58	19	259140ffc9ead19d36292d2a0cecef1a06e70798	31	49	3155	259140ffc9ead19d36292d2a0cecef1a06e70798	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
28499747291750c8c5f31a072c90df2deaa9fe69	3187	59	19	28499747291750c8c5f31a072c90df2deaa9fe69	31	50	3184	28499747291750c8c5f31a072c90df2deaa9fe69	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
28cc04908c1cdbfeec44c6090ccc3f0bfdfdf04a	3187	59	19	28cc04908c1cdbfeec44c6090ccc3f0bfdfdf04a	31	50	3184	28cc04908c1cdbfeec44c6090ccc3f0bfdfdf04a	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
306188817f10c4e63f25c60d4cfaa92e18354aa6	3187	59	19	306188817f10c4e63f25c60d4cfaa92e18354aa6	31	50	3184	306188817f10c4e63f25c60d4cfaa92e18354aa6	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
3150af1ad771ea2ba01474842d288667029b0ec8	3150	58	19	3150af1ad771ea2ba01474842d288667029b0ec8	31	49	3147	3150af1ad771ea2ba01474842d288667029b0ec8	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
34920ea04eb772af899842f772417d35def012e4	3157	58	19	34920ea04eb772af899842f772417d35def012e4	31	50	3153	34920ea04eb772af899842f772417d35def012e4	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
35b70ca915b8ce33e3c0baf529c0a6356e2d37df	3155	58	19	35b70ca915b8ce33e3c0baf529c0a6356e2d37df	31	49	3152	35b70ca915b8ce33e3c0baf529c0a6356e2d37df	12	78, 89, 94, 259, 327, 330, 377, 400, 502, 605, 703, 732
