COMMIT_CONFIDENCE	HIGH_1	MED_1	LOW_1	COMMIT_SEVERITY	HIGH_2	MED_2	LOW_2	COMMIT_CWES	UNIQUE_CWES	CWE_IDS
022ce28480f1b0b0b2b9e04368b36f16f6374ad7	1018	2	0	022ce28480f1b0b0b2b9e04368b36f16f6374ad7	0	4	1016	022ce28480f1b0b0b2b9e04368b36f16f6374ad7	5	78, 330, 377, 502, 703
04c2fdf585da085fe7712a9b366ee0fe799f4233	1065	2	0	04c2fdf585da085fe7712a9b366ee0fe799f4233	0	4	1063	04c2fdf585da085fe7712a9b366ee0fe799f4233	5	78, 330, 377, 502, 703
051bf5fa93a2d52a4679c9ab875ff0d691ec40cf	1136	2	0	051bf5fa93a2d52a4679c9ab875ff0d691ec40cf	0	2	1136	051bf5fa93a2d52a4679c9ab875ff0d691ec40cf	4	78, 330, 377, 703
08415c66adc4f871d33d4ef5e841d9ac224e679c	1081	2	0	08415c66adc4f871d33d4ef5e841d9ac224e679c	0	2	1081	08415c66adc4f871d33d4ef5e841d9ac224e679c	4	78, 330, 377, 703
0ad8c3d4a12756d1b603ff1a753e18e1eb276816	1100	2	0	0ad8c3d4a12756d1b603ff1a753e18e1eb276816	0	2	1100	0ad8c3d4a12756d1b603ff1a753e18e1eb276816	4	78, 330, 377, 703
0c44b71bc224522005ba361a289ee47f44307323	1050	2	0	0c44b71bc224522005ba361a289ee47f44307323	0	3	1049	0c44b71bc224522005ba361a289ee47f44307323	5	78, 330, 377, 502, 703
0f05e0b007a98b63f8b89edfc54127c32774e06f	1100	2	0	0f05e0b007a98b63f8b89edfc54127c32774e06f	0	2	1100	0f05e0b007a98b63f8b89edfc54127c32774e06f	4	78, 330, 377, 703
0fb6e4341e1c37693304c064280910fbc98a6f2f	1068	2	0	0fb6e4341e1c37693304c064280910fbc98a6f2f	0	2	1068	0fb6e4341e1c37693304c064280910fbc98a6f2f	4	78, 330, 377, 703
11255bdfbddf1548fcd3714440a3e2f6128bde89	1018	2	0	11255bdfbddf1548fcd3714440a3e2f6128bde89	0	4	1016	11255bdfbddf1548fcd3714440a3e2f6128bde89	5	78, 330, 377, 502, 703
117ba8b428fe9c5fca277170d93b5fb3d3b8da58	1100	2	0	117ba8b428fe9c5fca277170d93b5fb3d3b8da58	0	2	1100	117ba8b428fe9c5fca277170d93b5fb3d3b8da58	4	78, 330, 377, 703
139dfd6e34d50ec082f24207d45112a0953e5de9	1151	2	0	139dfd6e34d50ec082f24207d45112a0953e5de9	0	2	1151	139dfd6e34d50ec082f24207d45112a0953e5de9	4	78, 330, 377, 703
